3;Refri Fanta 350ml;8.9;19;ImagensProdutos\RefriFanta.jpg
5;Guaraná 350ml;22.89;23;ImagensProdutos\Guarana.jpg
4;Refri Coca 500ml;9.75;4;ImagensProdutos\RefriCoca.jpg
1;Pipoca G;34.7;11;ImagensProdutos\Pipoca2.jpg
6;Hershey's;13.9;50;ImagensProdutos\Hersheys.jpg
7;Refri Coca 1L;10.5;15;ImagensProdutos\RefriCoca.jpg
8;Refri Coca 350ml;5.9;15;ImagensProdutos\RefriCoca.jpg
9;Refri Fanta 500ml;10.5;56;ImagensProdutos\RefriFanta.jpg
10;Refri Fanta 1L;12.75;8;ImagensProdutos\RefriFanta.jpg
11;Guaraná 500ml;10.5;9;ImagensProdutos\Guarana.jpg
12;Guaraná 1L;12.75;21;ImagensProdutos\Guarana.jpg
13;Combo 1;25.5;10;ImagensProdutos\combo1.jpg
14;Pipoca P;14.99;6;ImagensProdutos\Pipoca2.jpg
445566;Snickers;40.0;30;ImagensProdutos\cccbe5b7-c829-4be2-b920-4ff575d127f5.jpg
