A Odisseia;2;2026-06-11T14:40;DUBLADO;ABERTA
A Odisseia;1;2026-06-11T17:50;LEGENDADO;ABERTA
PulpFiction;3;2026-06-12T21:30;DUBLADO;ABERTA
Devoradores de Estrelas;1;2026-06-12T14:30;DUBLADO;ABERTA
Devoradores de Estrelas;1;2026-06-12T17:30;DUBLADO;ABERTA
Devoradores de Estrelas;2;2026-06-12T15:20;DUBLADO;ABERTA
Devoradores de Estrelas;1;2026-06-12T20:20;DUBLADO;ABERTA
Zootopia 2;1;2026-06-13T12:30;DUBLADO;ABERTA
Zootopia 2;1;2026-06-13T15:30;DUBLADO;ABERTA
Zootopia 2;1;2026-06-13T17:26;DUBLADO;ABERTA
Zootopia 2;1;2026-06-13T20:12;DUBLADO;ABERTA
O Exorcista;2;2026-06-12T03:33;LEGENDADO;ABERTA
Todo Mundo em Panico;2;2026-06-11T17:44;DUBLADO;ABERTA
Da Magia à Sedução;3;2026-06-11T21:55;DUBLADO;ABERTA
A Espera de um Milagre;3;2026-06-13T20:55;DUBLADO;ABERTA
A Odisseia;1;2026-06-11T14:54;DUBLADO;ABERTA
O Exorcista;1;2026-06-11T22:30;LEGENDADO;ABERTA
O Agente Secreto;2;2026-06-11T20:00;DUBLADO;ABERTA
O Exorcista;2;2026-06-11T23:00;DUBLADO;ABERTA
A Mosca 2;3;2026-06-21T22:30;DUBLADO;ABERTA
A Mosca 2;3;2026-06-23T21:30;DUBLADO;ABERTA
